area,avg_diet_energy_pct,cereal_import_ratio_pct,pct_arable_land_irrigation,mod_severe_insecure_female_pct,mod_severe_insecure_male_pct,mod_severe_insecure_total_pop_pct,severe_insecure_female_pct,severe_insecure_male_pct,severe_insecure_total_pop_pct,undernourishment_pct,diet_cereal_roots_tubers,food_imports_pct,2018_cost_ppp,2019_cost_ppp,2020_cost_ppp,2018_num_unable_to_afford_diet,2019_num_unable_to_afford_diet,2020_num_unable_to_afford_diet,2018_pct_unable_to_afford_diet,2019_pct_unable_to_afford_diet,2020_pct_unable_to_afford_diet,capital_coordinates,,
Afghanistan,106,38.1,4.9,69.9,56.5,63.1,24.8,14.8,19.8,26.9,71,284,3.274,3.309,3.383,973.4,989.4,1020.7,78,77.4,77.9,"(33.7680065, 66.2385139)",,
Albania,135,38.5,13,37.3,30.2,33.8,9.8,7.7,8.8,4.1,35,20,,,,,,,,,,"(41.1533, 20.1683) ",,
Algeria,150,73.8,0.6,17.7,17.5,17.6,7.2,6.7,6.9,2.5,51,25,3.822,3.796,3.76,13.1,12.5,13.5,31.2,29.2,31.1,"(28.0000272, 2.9999825)",,
American Samoa,,,,,,,,,,,,,3.662,3.74,3.835,125.5,125.2,126.3,13.4,13.3,13.3,"(-14.297124, -170.7131481)",,
Andorra,,,0.3,,,,,,,,,,4.293,4.352,4.585,25.8,27.1,29,82.7,83.9,86.7,"(42.5407167, 1.5732033)",,
Angola,114,42.9,0.1,76.3,70.8,73.5,28.1,25.7,26.9,17.5,62,7,3.045,3.132,3.162,26.1,26.5,24.3,2,2.1,1.9,"(-11.8775768, 17.5691241)",,
Antigua and Barbuda,,97.5,0.9,,,,,,,,33,251,4.302,4.391,4.504,,,,,,,"(17.2234721, -61.9554608)",,
Argentina,135,-139,0.9,40.2,31.4,35.8,15.7,9.6,12.6,3.4,35,6,,,,,,,,,,"(-34.9964963, -64.9672817)",,
Armenia,139,73.5,7.3,13.2,10.3,11.7,0.9,0.6,0.8,2.5,44,24,3.166,3.237,3.247,1.1,1.1,1.1,37.9,40,39,"(40.0691, 45.0382)",,
Australia,140,-132.6,0.3,12.8,11.8,12.3,3.1,3.4,3.3,2.5,24,5,,,,,,,,,,"(-24.7761086, 134.755)",,
Austria,149,17.8,1.2,3.5,2.6,3,0.9,0.9,0.9,2.5,27,7,2.283,2.296,2.389,0.2,0.2,0.2,0.7,0.7,0.7,"(47.59397, 14.12456)",,
Azerbaijan,135,31.5,17.7,8.9,8.8,8.8,0.5,0.5,0.5,2.5,54,9,,,,,,,,,,"(40.3936294, 47.7872508)",,
Bahamas,,99,0.1,,,,,,,,28,96,2.848,2.915,3.004,0.1,0.1,0.1,0.8,0.8,1,"(24.7736546, -78.0000547)",,
Bahrain,,,4.8,,,,,,,,,10,2.399,2.459,2.533,0,0,0,0,0,0,"(26.0280409, 50.55316820508136)",,
